FID_1,aet,dtr,eto,frac,lulc,pawc,precip,wy,POINT_X,POINT_Y,POINT_Z
102,727.32434503,500.00000000,1863.82758621,0.27184293,9.13793103,0.20999999,2605.00449555,1949.84240302,729437.09411200000,9241683.75597000000,0.00000000000
103,760.44877272,176.92307692,1924.30769231,0.28938331,10.80769231,0.16961538,2623.15116061,1866.59192834,733303.58928400000,9239928.27947000000,0.00000000000
104,794.68560671,413.72549020,1901.25490196,0.30205555,9.54901961,0.19921568,2584.04980469,1836.12921980,731895.28137100000,9241456.11285000000,0.00000000000
105,861.71711030,500.00000000,1878.64864865,0.32814179,10.40540541,0.20999999,2545.43569204,1766.49405815,731209.40568500000,9242672.25644000000,0.00000000000
106,715.61777395,500.00000000,1784.90833333,0.26142766,7.53333333,0.20999999,2706.50291748,2021.05366821,728586.89397400000,9236391.53029000000,0.00000000000
107,838.56710002,500.00000000,1841.93333333,0.30972897,9.86666667,0.20999999,2679.97602539,1870.42231852,729903.48006900000,9237959.47185000000,0.00000000000
108,810.70339053,500.00000000,1775.98969072,0.29468000,7.02061856,0.20999999,2676.60145176,1940.63361540,727246.60037600000,9238480.50608000000,0.00000000000
109,839.56638310,500.00000000,1843.03448276,0.30923586,10.24137931,0.20999999,2652.56550546,1875.59174215,729240.42485600000,9239680.89972000000,0.00000000000
110,713.97117615,500.00000000,1817.28571429,0.26137872,9.28571429,0.20999999,2634.77677699,2017.09784807,727997.03206000000,9240582.92473000000,0.00000000000
111,727.67778185,500.00000000,1756.83333333,0.26163700,6.94444444,0.20999999,2655.30280219,2053.05110677,725488.12462600000,9239884.84154000000,0.00000000000
112,802.18535309,570.00000000,1688.60000000,0.28426980,6.90000000,0.20650000,2618.46373291,2017.07275696,723028.29997000000,9242465.85907000000,0.00000000000
113,814.23913458,602.85714286,1644.75238095,0.28854577,6.39047619,0.20485714,2587.31315569,2004.70304246,725508.81360300000,9241754.24597000000,0.00000000000
114,780.66786929,248.14814815,1938.87037037,0.29962272,10.25925926,0.17851851,2629.15998445,1822.92203550,734920.15725500000,9239101.09186000000,0.00000000000
115,717.63573678,100.00000000,1960.88607595,0.27899325,11.00000000,0.16000000,2620.04620439,1854.92620618,736815.49179800000,9238469.06930000000,0.00000000000
116,712.90780270,100.00000000,1963.04545455,0.28169048,11.00000000,0.16000000,2592.73620605,1818.05651301,739396.39129600000,9237484.53895000000,0.00000000000
117,754.20496984,325.80645161,1976.40322581,0.30670139,10.80645161,0.15193548,2535.35870164,1707.64886081,740886.81423400000,9238364.02767000000,0.00000000000
118,705.07669234,100.00000000,1987.01818182,0.28896344,11.00000000,0.16000000,2503.32271396,1735.06127042,739247.98016500000,9240864.20308000000,0.00000000000
119,708.79286969,100.00000000,1970.40983607,0.28479288,11.00000000,0.16000000,2529.04146388,1780.11377153,737355.40156000000,9241185.41006000000,0.00000000000
120,714.58744853,127.02702703,1934.40540541,0.28126192,10.12162162,0.16337837,2543.52486935,1826.40838458,735103.17227600000,9241641.44828000000,0.00000000000
121,698.89474596,100.00000000,1990.44642857,0.29261089,11.00000000,0.16000000,2451.64194598,1689.90393938,739451.63678900000,9242302.23253000000,0.00000000000
122,692.70386838,100.00000000,1998.43589744,0.29684272,10.87179487,0.16000000,2395.95461488,1641.12538812,740658.55182700000,9242832.30955000000,0.00000000000
123,925.20694885,500.00000000,1913.85000000,0.36073475,10.75000000,0.20999999,2508.74149780,1639.58525696,733088.56055600000,9243088.42751000000,0.00000000000
124,699.00914630,100.00000000,1989.08823529,0.29237365,11.00000000,0.16000000,2475.01178338,1691.95323630,741539.99924000000,9240067.06478000000,0.00000000000
125,756.84720177,170.00000000,1994.52307692,0.32447232,10.90769231,0.15784615,2424.74768254,1579.51685955,743317.91762400000,9239897.63642000000,0.00000000000
126,731.85955121,167.74193548,2002.70967742,0.32490298,10.95161290,0.15806451,2345.59725460,1521.19075406,744289.71387100000,9241474.44336000000,0.00000000000
127,773.52934696,279.48717949,1997.12820513,0.36424977,10.92307692,0.15487180,2213.54768254,1353.70563996,746397.22853200000,9243236.96362000000,0.00000000000
128,671.15604370,100.00000000,2004.40000000,0.30922282,11.00000000,0.16000000,2253.43840820,1499.58020264,744546.28673000000,9243693.40768000000,0.00000000000
129,665.09657190,107.44680851,1994.89361702,0.31465877,11.00000000,0.15978723,2178.95680789,1449.48786829,743907.67160900000,9245128.18911000000,0.00000000000
130,656.34821199,100.00000000,1975.76315789,0.31892837,10.47368421,0.16000000,2100.15368652,1401.84815738,745369.45300400000,9246837.09543000000,0.00000000000
131,804.65596892,321.05263158,1981.55263158,0.40526276,10.44736842,0.15368421,2027.17446418,1183.54210783,747164.99968700000,9246486.42508000000,0.00000000000
132,647.73740818,100.00000000,1977.15217391,0.32470996,10.45652174,0.16000000,2015.71695079,1347.09478760,746645.11221800000,9248178.75985000000,0.00000000000
133,623.69961112,114.28571429,1988.10204082,0.32060935,6.59183673,0.15959183,1927.55163325,1321.57449029,748064.05346400000,9250089.89848000000,0.00000000000
134,1004.80585570,1353.14685315,1886.37762238,0.41680072,4.55944056,0.11538461,2397.78293679,1405.22599974,745462.94745100000,9234456.95293000000,0.00000000000
135,856.42918786,694.18604651,1954.69767442,0.36973809,9.83720930,0.14069768,2375.08651662,1460.32070142,745578.29537600000,9237741.64525000000,0.00000000000
136,900.03735906,450.00000000,1987.78787879,0.39642570,10.51515152,0.15000001,2347.44030392,1369.52793561,745653.77127700000,9239204.48515000000,0.00000000000
137,887.14928141,926.00000000,1961.68000000,0.40096055,9.05333333,0.13186667,2269.97640951,1324.03746094,747399.63281900000,9238883.29344000000,0.00000000000
138,966.63164810,1413.36898396,1840.79411765,0.45733756,3.69518717,0.12732620,2081.18088079,1153.82601325,750744.02727100000,9236235.46610000000,0.00000000000
139,872.83580466,1479.41176471,1964.94117647,0.41043200,9.21568627,0.11078431,2176.05137006,1254.69137753,749117.95027300000,9239369.41885000000,0.00000000000
140,795.49301944,450.00000000,2002.26086957,0.37517641,10.13043478,0.15000001,2201.48805303,1325.73218039,748102.56162500000,9241435.92222000000,0.00000000000
141,817.08464324,692.30769231,1990.66666667,0.40008815,10.10256410,0.14076924,2103.21489383,1224.52538123,750093.35798300000,9241819.67154000000,0.00000000000
142,848.72693408,1439.01098901,1965.12087912,0.42390601,9.67032967,0.12032967,2025.35495364,1153.41648513,751913.43598300000,9240530.15497000000,0.00000000000
143,821.90202985,690.00000000,1988.31428571,0.41586683,10.57142857,0.14085715,2019.55714983,1155.35342494,751899.99879200000,9242779.05874000000,0.00000000000
144,793.15079590,450.00000000,1982.82000000,0.40210582,11.00000000,0.15000001,2023.42180420,1179.40980469,751301.73280200000,9244291.03592000000,0.00000000000
145,1077.37388199,1136.49635036,1911.83941606,0.57079967,6.30656934,0.14711679,1824.09645960,814.09393461,756273.50297200000,9239966.51268000000,0.00000000000
146,932.80904261,1334.37500000,1978.81250000,0.48255739,9.39583333,0.13958333,1927.16770681,1000.42460632,754536.53060300000,9242469.76685000000,0.00000000000
147,864.38032442,798.52941176,1977.20588235,0.44477718,10.41176471,0.15529412,1958.00322768,1079.32949829,753660.84810800000,9243934.92737000000,0.00000000000
148,940.95045332,1326.13636364,1972.13636364,0.48529996,10.02272727,0.13318182,1913.53295066,997.91416376,756090.89261100000,9244141.10160000000,0.00000000000
149,1014.41196289,1368.00000000,1970.88000000,0.51959364,10.48000000,0.13640000,1929.84400391,937.41492188,755206.66812600000,9245987.80241000000,0.00000000000
150,862.29964633,1354.05405405,1987.51351351,0.44169914,9.43243243,0.13918919,1933.89000145,1090.47856841,754599.66307300000,9247126.86765000000,0.00000000000
151,996.08761451,1200.00000000,1977.71428571,0.51297796,10.14285714,0.17000000,1953.15142532,945.74051630,753231.05587300000,9246475.68184000000,0.00000000000
152,932.16636912,950.00000000,1977.50000000,0.47955825,10.16666667,0.16333334,1965.74875387,1011.86546071,753138.29069800000,9245201.81024000000,0.00000000000
